"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","28.00","28.88","28.88","28.00","2.48M","-2.03%"
"May 30, 2022","28.58","28.74","29.20","28.42","3.45M","0.14%"
"May 27, 2022","28.54","29.52","30.00","27.60","8.90M","-2.93%"
"May 26, 2022","29.40","28.84","29.48","28.56","8.59M","3.16%"
"May 25, 2022","28.50","28.70","29.08","28.14","3.25M","-0.35%"
"May 24, 2022","28.60","28.40","29.42","27.64","8.20M","0.70%"
"May 23, 2022","28.40","29.40","29.60","28.34","3.93M","-3.14%"
"May 20, 2022","29.32","29.56","29.98","29.14","3.78M","-0.81%"
"May 19, 2022","29.56","30.06","30.22","29.20","5.27M","-1.66%"
"May 18, 2022","30.06","30.36","30.90","29.52","10.05M","-0.99%"
"May 17, 2022","30.36","29.62","31.30","29.60","10.17M","2.85%"
"May 16, 2022","29.52","29.28","29.70","29.00","3.77M","0.89%"
"May 13, 2022","29.26","29.50","29.82","29.08","2.95M","-0.20%"
"May 12, 2022","29.32","29.92","30.02","29.14","3.16M","-2.01%"
"May 11, 2022","29.92","30.00","30.54","29.62","3.83M","-0.60%"
"May 06, 2022","30.10","30.80","30.80","30.04","3.06M","-1.95%"
"May 05, 2022","30.70","31.26","31.74","30.40","6.64M","-1.60%"
"May 04, 2022","31.20","32.12","32.68","31.04","11.38M","0.19%"
"Apr 29, 2022","31.14","30.84","31.74","30.30","7.66M","1.10%"
"Apr 28, 2022","30.80","32.94","34.20","30.76","14.65M","-4.94%"
"Apr 27, 2022","32.40","30.30","33.14","30.22","11.29M","7.36%"
"Apr 26, 2022","30.18","29.20","30.76","29.08","6.91M","4.00%"
"Apr 25, 2022","29.02","30.50","30.60","28.66","6.58M","-5.23%"
"Apr 22, 2022","30.62","31.06","31.98","30.12","5.91M","-1.61%"
"Apr 21, 2022","31.12","32.26","33.44","31.12","9.87M","-4.25%"
"Apr 20, 2022","32.50","30.48","34.00","29.80","17.02M","6.49%"
"Apr 19, 2022","30.52","31.50","31.60","27.94","11.86M","-2.55%"
"Apr 18, 2022","31.32","33.00","33.60","31.30","4.42M","-4.98%"
"Apr 15, 2022","32.96","33.98","33.98","32.20","5.64M","0.67%"
"Apr 14, 2022","32.74","34.10","34.28","32.66","4.52M","-3.31%"
"Apr 13, 2022","33.86","33.90","34.76","33.52","4.67M","-0.59%"
"Apr 12, 2022","34.06","35.46","35.60","32.40","9.11M","-3.95%"
"Apr 11, 2022","35.46","36.92","37.22","35.36","9.95M","-4.01%"
"Apr 08, 2022","36.94","37.88","37.88","36.18","6.09M","-1.70%"
"Apr 07, 2022","37.58","37.18","39.20","37.04","8.63M","1.08%"
"Apr 06, 2022","37.18","37.40","38.52","36.08","9.61M","-1.54%"
"Apr 05, 2022","37.76","41.54","41.54","35.50","22.62M","-7.68%"
"Apr 04, 2022","40.90","39.52","42.66","37.60","49.66M","5.41%"
"Apr 01, 2022","38.80","38.26","40.00","37.10","28.41M","2.81%"
"Mar 31, 2022","37.74","39.50","39.88","35.28","41.36M","0.53%"
"Mar 30, 2022","37.54","31.14","37.54","31.06","39.95M","24.72%"
"Mar 29, 2022","30.10","26.04","33.66","25.88","38.72M","16.40%"
"Mar 28, 2022","25.86","25.76","27.30","23.72","18.13M","3.03%"
"Mar 25, 2022","25.10","27.64","30.40","25.10","41.38M","-18.24%"
"Mar 24, 2022","30.70","33.08","36.00","29.18","30.15M","-16.44%"
"Feb 28, 2022","36.74","36.74","36.74","36.74","-","0.00%"
"Feb 25, 2022","36.74","35.50","39.60","34.26","27.28M","2.91%"
"Feb 24, 2022","35.70","44.50","45.08","29.06","67.10M","-27.91%"
"Feb 22, 2022","49.52","46.50","50.16","43.40","54.28M","6.27%"
"Feb 21, 2022","46.60","55.70","56.88","42.14","87.96M","-16.34%"
"Feb 18, 2022","55.70","58.18","58.98","55.20","18.62M","-4.10%"
"Feb 17, 2022","58.08","60.42","60.66","57.60","15.61M","-3.87%"
"Feb 16, 2022","60.42","59.58","60.84","59.30","12.33M","1.68%"
"Feb 15, 2022","59.42","57.20","59.74","57.20","15.54M","3.70%"
"Feb 14, 2022","57.30","57.52","58.26","56.14","20.99M","-1.72%"
"Feb 11, 2022","58.30","59.98","60.76","57.60","26.06M","-2.44%"
"Feb 10, 2022","59.76","59.10","61.78","58.38","31.47M","0.95%"
"Feb 09, 2022","59.20","57.42","59.50","57.16","21.81M","3.53%"
"Feb 08, 2022","57.18","56.36","57.30","55.98","9.04M","1.78%"
"Feb 07, 2022","56.18","56.34","56.78","55.74","4.64M","0.00%"
"Feb 04, 2022","56.18","55.82","56.90","55.52","10.26M","0.86%"
