"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","4,061.5","4,180.0","4,184.5","4,045.0","305.24K","-3.76%"
"May 30, 2022","4,220.0","4,351.0","4,380.0","4,100.0","415.92K","-1.63%"
"May 27, 2022","4,290.0","4,285.0","4,359.5","4,255.0","475.10K","0.63%"
"May 26, 2022","4,263.0","4,160.0","4,298.5","4,085.0","488.50K","2.77%"
"May 25, 2022","4,148.0","3,999.0","4,148.0","3,975.0","339.34K","5.23%"
"May 24, 2022","3,942.0","4,050.0","4,062.5","3,882.0","501.95K","-2.67%"
"May 23, 2022","4,050.0","4,305.0","4,350.0","4,031.0","332.96K","-5.35%"
"May 20, 2022","4,279.0","4,419.0","4,449.0","4,258.0","304.80K","-3.09%"
"May 19, 2022","4,415.5","4,483.5","4,509.5","4,381.5","229.82K","-1.52%"
"May 18, 2022","4,483.5","4,520.0","4,565.0","4,480.0","273.96K","-0.37%"
"May 17, 2022","4,500.0","4,543.0","4,589.0","4,400.0","388.54K","-0.52%"
"May 16, 2022","4,523.5","4,380.0","4,669.5","4,380.0","1.14M","3.28%"
"May 13, 2022","4,380.0","4,400.0","4,439.0","4,300.0","272.07K","0.40%"
"May 12, 2022","4,362.5","4,550.0","4,581.0","4,325.5","525.90K","-5.16%"
"May 11, 2022","4,600.0","4,640.0","4,699.0","4,539.0","242.22K","-0.77%"
"May 06, 2022","4,635.5","4,689.0","4,690.0","4,568.0","376.03K","-0.84%"
"May 05, 2022","4,675.0","4,602.0","4,689.5","4,600.5","230.33K","2.70%"
"May 04, 2022","4,552.0","4,747.0","4,772.5","4,526.0","443.42K","-3.14%"
"Apr 29, 2022","4,699.5","4,410.0","4,717.0","4,380.0","865.62K","7.27%"
"Apr 28, 2022","4,381.0","4,551.0","4,740.0","4,318.0","923.46K","-3.71%"
"Apr 27, 2022","4,550.0","4,325.0","4,559.0","4,276.0","783.96K","6.01%"
"Apr 26, 2022","4,292.0","3,970.5","4,587.5","3,960.5","1.35M","9.18%"
"Apr 25, 2022","3,931.0","3,828.0","3,994.0","3,716.0","560.39K","2.69%"
"Apr 22, 2022","3,828.0","3,974.0","4,044.0","3,682.0","1.65M","-3.67%"
"Apr 21, 2022","3,974.0","4,331.5","4,340.0","3,910.0","1.22M","-7.80%"
"Apr 20, 2022","4,310.0","4,498.5","4,536.0","4,215.5","726.09K","-3.90%"
"Apr 19, 2022","4,485.0","4,592.0","4,592.0","4,108.0","708.76K","-1.41%"
"Apr 18, 2022","4,549.0","4,913.0","4,948.0","4,524.0","407.46K","-7.03%"
"Apr 15, 2022","4,893.0","4,879.0","4,956.0","4,800.0","151.32K","0.28%"
"Apr 14, 2022","4,879.5","5,115.5","5,120.0","4,862.0","199.12K","-4.44%"
"Apr 13, 2022","5,106.0","5,179.5","5,209.0","5,056.0","160.93K","-0.76%"
"Apr 12, 2022","5,145.0","5,200.0","5,250.0","5,026.0","219.89K","-0.87%"
"Apr 11, 2022","5,190.0","5,225.0","5,385.0","5,184.0","144.62K","-0.70%"
"Apr 08, 2022","5,226.5","5,299.5","5,319.5","5,087.0","199.67K","-1.01%"
"Apr 07, 2022","5,280.0","5,260.0","5,356.0","5,240.0","264.68K","0.27%"
"Apr 06, 2022","5,266.0","5,314.0","5,514.0","5,224.5","195.34K","-0.90%"
"Apr 05, 2022","5,314.0","5,574.0","5,590.0","5,220.0","245.01K","-4.37%"
"Apr 04, 2022","5,557.0","5,698.0","5,750.0","5,395.0","304.18K","-0.79%"
"Apr 01, 2022","5,601.0","5,660.0","5,868.0","5,450.0","385.73K","-1.39%"
"Mar 31, 2022","5,680.0","5,120.0","5,680.0","5,100.0","469.08K","10.51%"
"Mar 30, 2022","5,140.0","5,050.0","5,140.0","5,000.0","287.53K","4.43%"
"Mar 29, 2022","4,922.0","5,118.0","5,350.0","4,800.0","642.27K","-3.83%"
"Mar 28, 2022","5,118.0","5,200.0","5,200.0","4,915.0","228.86K","-1.69%"
"Mar 25, 2022","5,206.0","5,600.0","5,761.0","5,022.0","875.18K","-5.77%"
"Mar 24, 2022","5,525.0","5,302.5","5,993.0","5,300.0","1.20M","12.41%"
"Feb 25, 2022","4,915.0","4,400.0","5,360.0","4,400.0","2.01M","5.70%"
"Feb 24, 2022","4,650.0","5,410.5","5,410.5","3,019.5","4.69M","-22.76%"
"Feb 22, 2022","6,020.0","5,805.0","6,050.0","5,479.0","5.90M","3.61%"
"Feb 21, 2022","5,810.0","6,480.0","6,649.0","5,609.5","4.54M","-10.01%"
"Feb 18, 2022","6,456.5","6,739.0","6,832.0","6,415.0","1.70M","-4.11%"
"Feb 17, 2022","6,733.0","6,956.5","6,968.0","6,650.0","1.74M","-3.40%"
"Feb 16, 2022","6,970.0","7,028.0","7,068.0","6,902.5","1.18M","-0.13%"
"Feb 15, 2022","6,979.0","6,840.0","7,077.5","6,783.0","1.78M","2.69%"
"Feb 14, 2022","6,796.0","6,684.0","6,885.0","6,524.5","1.95M","1.32%"
"Feb 11, 2022","6,707.5","6,960.0","7,000.0","6,624.5","1.89M","-3.97%"
"Feb 10, 2022","6,984.5","6,970.0","7,084.0","6,894.0","1.38M","0.16%"
"Feb 09, 2022","6,973.5","6,966.5","7,009.0","6,900.0","1.55M","0.23%"
"Feb 08, 2022","6,957.5","6,985.0","7,044.0","6,938.0","931.31K","-0.44%"
"Feb 07, 2022","6,988.0","7,047.0","7,060.0","6,825.5","977.37K","-0.31%"
"Feb 04, 2022","7,010.0","6,897.0","7,110.0","6,892.0","1.75M","2.10%"
