"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","254.80","254.95","257.00","251.75","984.10K","-0.08%"
"May 30, 2022","255.00","247.00","255.00","246.10","1.69M","3.28%"
"May 27, 2022","246.90","245.05","248.75","243.90","1.33M","0.47%"
"May 26, 2022","245.75","250.00","251.50","245.00","2.11M","-0.91%"
"May 25, 2022","248.00","245.30","249.45","242.55","2.28M","1.89%"
"May 24, 2022","243.40","236.05","245.45","230.70","2.23M","3.14%"
"May 23, 2022","236.00","239.00","240.00","232.30","1.15M","-1.05%"
"May 20, 2022","238.50","244.00","245.90","237.00","1.65M","-1.91%"
"May 19, 2022","243.15","242.40","246.00","237.60","2.46M","0.06%"
"May 18, 2022","243.00","239.25","282.90","239.25","12.06M","11.72%"
"May 17, 2022","217.50","208.50","219.60","205.00","2.07M","3.57%"
"May 16, 2022","210.00","201.05","210.00","200.45","1.19M","4.56%"
"May 13, 2022","200.85","201.05","202.95","199.00","1.18M","0.37%"
"May 12, 2022","200.10","208.40","209.30","198.30","1.59M","-4.46%"
"May 11, 2022","209.45","211.25","211.25","206.10","790.93K","-0.73%"
"May 06, 2022","211.00","214.00","214.40","209.25","908.31K","-1.45%"
"May 05, 2022","214.10","208.70","214.95","208.70","1.06M","2.59%"
"May 04, 2022","208.70","209.05","212.20","207.15","845.19K","-0.17%"
"Apr 29, 2022","209.05","205.65","209.35","205.05","1.11M","1.98%"
"Apr 28, 2022","205.00","208.00","212.45","202.45","2.84M","-1.25%"
"Apr 27, 2022","207.60","196.80","208.20","194.35","4.76M","5.73%"
"Apr 26, 2022","196.35","185.00","197.25","184.55","3.91M","6.14%"
"Apr 25, 2022","185.00","188.10","188.30","181.65","1.34M","-1.62%"
"Apr 22, 2022","188.05","194.40","194.75","188.05","1.04M","-2.26%"
"Apr 21, 2022","192.40","197.30","198.25","192.30","1.08M","-2.31%"
"Apr 20, 2022","196.95","201.05","202.40","195.25","1.61M","-2.40%"
"Apr 19, 2022","201.80","205.00","205.00","195.10","1.19M","-0.98%"
"Apr 18, 2022","203.80","207.90","213.40","203.20","907.29K","-1.71%"
"Apr 15, 2022","207.35","205.70","211.70","200.45","1.05M","0.75%"
"Apr 14, 2022","205.80","212.50","213.20","205.00","548.09K","-2.23%"
"Apr 13, 2022","210.50","214.75","215.90","210.00","726.22K","-0.19%"
"Apr 12, 2022","210.90","214.00","214.00","204.00","882.57K","-0.40%"
"Apr 11, 2022","211.75","217.80","217.80","210.10","688.08K","-1.60%"
"Apr 08, 2022","215.20","235.00","235.00","213.00","2.07M","-0.60%"
"Apr 07, 2022","216.50","215.00","221.85","215.00","541.76K","0.70%"
"Apr 06, 2022","215.00","217.00","220.00","212.00","697.94K","-1.38%"
"Apr 05, 2022","218.00","230.05","231.05","215.35","1.02M","-5.63%"
"Apr 04, 2022","231.00","235.00","239.05","224.20","1.09M","-1.70%"
"Apr 01, 2022","235.00","238.60","248.10","232.00","1.41M","-1.53%"
"Mar 31, 2022","238.65","229.00","248.00","212.15","3.92M","2.42%"
"Mar 30, 2022","233.00","177.15","235.00","177.15","3.51M","33.37%"
"Mar 29, 2022","174.70","184.80","188.65","171.50","1.99M","-5.47%"
"Mar 28, 2022","184.80","190.60","194.20","181.20","973.54K","-3.04%"
"Mar 25, 2022","190.60","206.95","208.25","188.20","3.91M","-7.30%"
"Mar 24, 2022","205.60","200.00","236.00","198.15","3.13M","-5.47%"
"Feb 25, 2022","217.50","205.00","247.80","205.00","6.15M","5.25%"
"Feb 24, 2022","206.65","235.00","240.00","155.00","10.84M","-20.78%"
"Feb 22, 2022","260.85","235.45","263.90","219.50","16.72M","8.80%"
"Feb 21, 2022","239.75","272.85","278.00","226.00","20.24M","-12.13%"
"Feb 18, 2022","272.85","284.95","286.90","271.30","5.27M","-3.74%"
"Feb 17, 2022","283.45","287.40","287.80","281.10","4.54M","-1.37%"
"Feb 16, 2022","287.40","287.00","291.65","286.00","2.97M","0.03%"
"Feb 15, 2022","287.30","281.45","287.85","280.70","3.28M","2.31%"
"Feb 14, 2022","280.80","283.05","286.70","276.50","5.06M","-1.40%"
"Feb 11, 2022","284.80","292.05","292.95","282.70","3.35M","-2.95%"
"Feb 10, 2022","293.45","289.95","294.90","283.60","4.46M","1.22%"
"Feb 09, 2022","289.90","290.00","290.50","286.75","3.59M","0.05%"
"Feb 08, 2022","289.75","283.65","290.15","283.55","1.49M","1.86%"
"Feb 07, 2022","284.45","285.00","286.70","282.25","1.04M","0.42%"
"Feb 04, 2022","283.25","284.60","288.30","281.50","1.70M","-0.47%"
