"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2022","403.00","418.50","418.50","402.00","54.43K","-2.89%"
"May 30, 2022","415.00","405.50","425.00","400.50","114.22K","2.47%"
"May 27, 2022","405.00","387.00","419.50","370.50","232.30K","4.65%"
"May 26, 2022","387.00","421.50","421.50","379.00","137.60K","-6.52%"
"May 25, 2022","414.00","415.00","432.50","400.50","104.97K","-0.12%"
"May 24, 2022","414.50","464.00","468.00","393.50","248.58K","-8.60%"
"May 23, 2022","453.50","435.00","479.00","416.00","422.83K","5.22%"
"May 20, 2022","431.00","364.00","431.00","363.50","353.85K","19.72%"
"May 19, 2022","360.00","330.00","360.00","322.00","94.66K","10.43%"
"May 18, 2022","326.00","329.00","361.00","324.50","83.33K","2.84%"
"May 17, 2022","317.00","321.00","321.00","311.50","15.05K","-0.16%"
"May 16, 2022","317.50","320.00","320.00","310.50","17.57K","3.08%"
"May 13, 2022","308.00","312.00","314.00","304.50","16.25K","0.82%"
"May 12, 2022","305.50","329.50","329.50","300.00","43.52K","-4.38%"
"May 11, 2022","319.50","317.00","330.00","316.00","22.23K","-1.84%"
"May 06, 2022","325.50","312.50","364.50","312.50","102.85K","4.16%"
"May 05, 2022","312.50","326.50","327.00","311.50","45.55K","-1.88%"
"May 04, 2022","318.50","334.00","339.50","318.00","31.17K","-4.78%"
"Apr 29, 2022","334.50","350.00","350.00","333.00","18.49K","0.30%"
"Apr 28, 2022","333.50","352.50","370.00","323.00","45.70K","-3.19%"
"Apr 27, 2022","344.50","321.00","353.50","316.50","38.67K","8.16%"
"Apr 26, 2022","318.50","320.00","330.00","305.00","69.38K","-0.62%"
"Apr 25, 2022","320.50","352.50","363.00","320.50","45.72K","-9.08%"
"Apr 22, 2022","352.50","355.50","367.00","351.50","13.31K","-0.84%"
"Apr 21, 2022","355.50","360.00","366.00","355.50","19.32K","-1.11%"
"Apr 20, 2022","359.50","368.50","371.00","350.00","19.49K","0.42%"
"Apr 19, 2022","358.00","376.50","387.00","342.00","47.21K","-4.91%"
"Apr 18, 2022","376.50","388.50","397.50","374.00","21.52K","-2.71%"
"Apr 15, 2022","387.00","396.00","418.50","374.00","65.33K","-2.40%"
"Apr 14, 2022","396.50","411.00","419.00","392.00","30.87K","-3.88%"
"Apr 13, 2022","412.50","430.00","430.00","399.00","17.79K","-0.48%"
"Apr 12, 2022","414.50","436.50","436.50","403.00","25.91K","-3.60%"
"Apr 11, 2022","430.00","432.50","454.50","425.00","26.97K","-0.58%"
"Apr 08, 2022","432.50","451.50","456.50","430.50","19.07K","-2.15%"
"Apr 07, 2022","442.00","439.00","469.00","437.00","37.62K","0.80%"
"Apr 06, 2022","438.50","458.50","463.50","431.50","35.45K","-4.36%"
"Apr 05, 2022","458.50","471.50","479.00","451.00","35.83K","-4.18%"
"Apr 04, 2022","478.50","495.00","499.50","456.50","70.08K","-2.74%"
"Apr 01, 2022","492.00","519.50","519.50","488.50","70.07K","1.44%"
"Mar 31, 2022","485.00","480.00","520.00","455.00","150.18K","3.30%"
"Mar 30, 2022","469.50","427.50","528.50","427.50","175.54K","19.62%"
"Feb 25, 2022","392.50","362.00","429.00","355.00","245.22K","3.29%"
"Feb 24, 2022","380.00","487.00","490.00","300.00","484.59K","-29.17%"
"Feb 22, 2022","536.50","450.00","555.00","400.00","315.17K","18.96%"
"Feb 21, 2022","451.00","563.00","571.00","395.00","277.12K","-19.32%"
"Feb 18, 2022","559.00","566.00","569.00","542.00","103.86K","-0.89%"
"Feb 17, 2022","564.00","576.00","579.50","560.00","67.31K","-3.26%"
"Feb 16, 2022","583.00","578.00","605.50","570.00","105.27K","1.57%"
"Feb 15, 2022","574.00","559.50","595.00","559.50","88.96K","2.59%"
"Feb 14, 2022","559.50","550.00","591.50","548.00","86.52K","0.45%"
"Feb 11, 2022","557.00","564.00","569.50","550.00","70.30K","-1.24%"
"Feb 10, 2022","564.00","585.00","585.00","562.00","72.72K","-3.59%"
"Feb 09, 2022","585.00","560.00","588.00","560.00","69.30K","4.56%"
"Feb 08, 2022","559.50","554.00","564.00","545.00","40.47K","1.45%"
"Feb 07, 2022","551.50","545.50","563.50","540.00","34.61K","0.46%"
"Feb 04, 2022","549.00","559.00","560.00","540.50","66.58K","0.18%"
