Date,Price,Open,High,Low,Vol.,Change %,Date2
02/04/2022,56.18,55.82,56.9,55.52,10.26M,0.86%,2/4/2022
02/07/2022,56.18,56.34,56.78,55.74,4.64M,0.00%,2/7/2022
02/08/2022,57.18,56.36,57.3,55.98,9.04M,1.78%,2/8/2022
02/09/2022,59.2,57.42,59.5,57.16,21.81M,3.53%,2/9/2022
02/10/2022,59.76,59.1,61.78,58.38,31.47M,0.95%,2/10/2022
02/11/2022,58.3,59.98,60.76,57.6,26.06M,-2.44%,2/11/2022
02/14/2022,57.3,57.52,58.26,56.14,20.99M,-1.72%,2/14/2022
02/15/2022,59.42,57.2,59.74,57.2,15.54M,3.70%,2/15/2022
02/16/2022,60.42,59.58,60.84,59.3,12.33M,1.68%,2/16/2022
02/17/2022,58.08,60.42,60.66,57.6,15.61M,-3.87%,2/17/2022
02/18/2022,55.7,58.18,58.98,55.2,18.62M,-4.10%,2/18/2022
02/21/2022,46.6,55.7,56.88,42.14,87.96M,-16.34%,2/21/2022
02/22/2022,49.52,46.5,50.16,43.4,54.28M,6.27%,2/22/2022
02/24/2022,35.7,44.5,45.08,29.06,67.10M,-27.91%,2/24/2022
02/25/2022,36.74,35.5,39.6,34.26,27.28M,2.91%,2/25/2022
02/28/2022,36.74,36.74,36.74,36.74,-,0.00%,2/28/2022
03/24/2022,30.7,33.08,36,29.18,30.15M,-16.44%,3/24/2022
03/25/2022,25.1,27.64,30.4,25.1,41.38M,-18.24%,3/25/2022
03/28/2022,25.86,25.76,27.3,23.72,18.13M,3.03%,3/28/2022
03/29/2022,30.1,26.04,33.66,25.88,38.72M,16.40%,3/29/2022
03/30/2022,37.54,31.14,37.54,31.06,39.95M,24.72%,3/30/2022
03/31/2022,37.74,39.5,39.88,35.28,41.36M,0.53%,3/31/2022
04/01/2022,38.8,38.26,40,37.1,28.41M,2.81%,4/1/2022
04/04/2022,40.9,39.52,42.66,37.6,49.66M,5.41%,4/4/2022
04/05/2022,37.76,41.54,41.54,35.5,22.62M,-7.68%,4/5/2022
04/06/2022,37.18,37.4,38.52,36.08,9.61M,-1.54%,4/6/2022
04/07/2022,37.58,37.18,39.2,37.04,8.63M,1.08%,4/7/2022
04/08/2022,36.94,37.88,37.88,36.18,6.09M,-1.70%,4/8/2022
04/11/2022,35.46,36.92,37.22,35.36,9.95M,-4.01%,4/11/2022
04/12/2022,34.06,35.46,35.6,32.4,9.11M,-3.95%,4/12/2022
04/13/2022,33.86,33.9,34.76,33.52,4.67M,-0.59%,4/13/2022
04/14/2022,32.74,34.1,34.28,32.66,4.52M,-3.31%,4/14/2022
04/15/2022,32.96,33.98,33.98,32.2,5.64M,0.67%,4/15/2022
04/18/2022,31.32,33,33.6,31.3,4.42M,-4.98%,4/18/2022
04/19/2022,30.52,31.5,31.6,27.94,11.86M,-2.55%,4/19/2022
04/20/2022,32.5,30.48,34,29.8,17.02M,6.49%,4/20/2022
04/21/2022,31.12,32.26,33.44,31.12,9.87M,-4.25%,4/21/2022
04/22/2022,30.62,31.06,31.98,30.12,5.91M,-1.61%,4/22/2022
04/25/2022,29.02,30.5,30.6,28.66,6.58M,-5.23%,4/25/2022
04/26/2022,30.18,29.2,30.76,29.08,6.91M,4.00%,4/26/2022
04/27/2022,32.4,30.3,33.14,30.22,11.29M,7.36%,4/27/2022
04/28/2022,30.8,32.94,34.2,30.76,14.65M,-4.94%,4/28/2022
04/29/2022,31.14,30.84,31.74,30.3,7.66M,1.10%,4/29/2022
05/04/2022,31.2,32.12,32.68,31.04,11.38M,0.19%,5/4/2022
05/05/2022,30.7,31.26,31.74,30.4,6.64M,-1.60%,5/5/2022
05/06/2022,30.1,30.8,30.8,30.04,3.06M,-1.95%,5/6/2022
05/11/2022,29.92,30,30.54,29.62,3.83M,-0.60%,5/11/2022
05/12/2022,29.32,29.92,30.02,29.14,3.16M,-2.01%,5/12/2022
05/13/2022,29.26,29.5,29.82,29.08,2.95M,-0.20%,5/13/2022
05/16/2022,29.52,29.28,29.7,29,3.77M,0.89%,5/16/2022
05/17/2022,30.36,29.62,31.3,29.6,10.17M,2.85%,5/17/2022
05/18/2022,30.06,30.36,30.9,29.52,10.05M,-0.99%,5/18/2022
05/19/2022,29.56,30.06,30.22,29.2,5.27M,-1.66%,5/19/2022
05/20/2022,29.32,29.56,29.98,29.14,3.78M,-0.81%,5/20/2022
05/23/2022,28.4,29.4,29.6,28.34,3.93M,-3.14%,5/23/2022
05/24/2022,28.6,28.4,29.42,27.64,8.20M,0.70%,5/24/2022
05/25/2022,28.5,28.7,29.08,28.14,3.25M,-0.35%,5/25/2022
05/26/2022,29.4,28.84,29.48,28.56,8.59M,3.16%,5/26/2022
05/27/2022,28.54,29.52,30,27.6,8.90M,-2.93%,5/27/2022
05/30/2022,28.58,28.74,29.2,28.42,3.45M,0.14%,5/30/2022
05/31/2022,28,28.88,28.88,28,2.48M,-2.03%,5/31/2022
