Date,Price,Open,High,Low,Vol.,Change %
5/31/2022,4061.5,4180,4184.5,4045,305.24K,-3.76%
5/30/2022,4220,4351,4380,4100,415.92K,-1.63%
5/27/2022,4290,4285,4359.5,4255,475.10K,0.63%
5/26/2022,4263,4160,4298.5,4085,488.50K,2.77%
5/25/2022,4148,3999,4148,3975,339.34K,5.23%
5/24/2022,3942,4050,4062.5,3882,501.95K,-2.67%
5/23/2022,4050,4305,4350,4031,332.96K,-5.35%
5/20/2022,4279,4419,4449,4258,304.80K,-3.09%
5/19/2022,4415.5,4483.5,4509.5,4381.5,229.82K,-1.52%
5/18/2022,4483.5,4520,4565,4480,273.96K,-0.37%
5/17/2022,4500,4543,4589,4400,388.54K,-0.52%
5/16/2022,4523.5,4380,4669.5,4380,1.14M,3.28%
5/13/2022,4380,4400,4439,4300,272.07K,0.40%
5/12/2022,4362.5,4550,4581,4325.5,525.90K,-5.16%
5/11/2022,4600,4640,4699,4539,242.22K,-0.77%
5/6/2022,4635.5,4689,4690,4568,376.03K,-0.84%
5/5/2022,4675,4602,4689.5,4600.5,230.33K,2.70%
5/4/2022,4552,4747,4772.5,4526,443.42K,-3.14%
4/29/2022,4699.5,4410,4717,4380,865.62K,7.27%
4/28/2022,4381,4551,4740,4318,923.46K,-3.71%
4/27/2022,4550,4325,4559,4276,783.96K,6.01%
4/26/2022,4292,3970.5,4587.5,3960.5,1.35M,9.18%
4/25/2022,3931,3828,3994,3716,560.39K,2.69%
4/22/2022,3828,3974,4044,3682,1.65M,-3.67%
4/21/2022,3974,4331.5,4340,3910,1.22M,-7.80%
4/20/2022,4310,4498.5,4536,4215.5,726.09K,-3.90%
4/19/2022,4485,4592,4592,4108,708.76K,-1.41%
4/18/2022,4549,4913,4948,4524,407.46K,-7.03%
4/15/2022,4893,4879,4956,4800,151.32K,0.28%
4/14/2022,4879.5,5115.5,5120,4862,199.12K,-4.44%
4/13/2022,5106,5179.5,5209,5056,160.93K,-0.76%
4/12/2022,5145,5200,5250,5026,219.89K,-0.87%
4/11/2022,5190,5225,5385,5184,144.62K,-0.70%
4/8/2022,5226.5,5299.5,5319.5,5087,199.67K,-1.01%
4/7/2022,5280,5260,5356,5240,264.68K,0.27%
4/6/2022,5266,5314,5514,5224.5,195.34K,-0.90%
4/5/2022,5314,5574,5590,5220,245.01K,-4.37%
4/4/2022,5557,5698,5750,5395,304.18K,-0.79%
4/1/2022,5601,5660,5868,5450,385.73K,-1.39%
3/31/2022,5680,5120,5680,5100,469.08K,10.51%
3/30/2022,5140,5050,5140,5000,287.53K,4.43%
3/29/2022,4922,5118,5350,4800,642.27K,-3.83%
3/28/2022,5118,5200,5200,4915,228.86K,-1.69%
3/25/2022,5206,5600,5761,5022,875.18K,-5.77%
3/24/2022,5525,5302.5,5993,5300,1.20M,12.41%
2/25/2022,4915,4400,5360,4400,2.01M,5.70%
2/24/2022,4650,5410.5,5410.5,3019.5,4.69M,-22.76%
2/22/2022,6020,5805,6050,5479,5.90M,3.61%
2/21/2022,5810,6480,6649,5609.5,4.54M,-10.01%
2/18/2022,6456.5,6739,6832,6415,1.70M,-4.11%
2/17/2022,6733,6956.5,6968,6650,1.74M,-3.40%
2/16/2022,6970,7028,7068,6902.5,1.18M,-0.13%
2/15/2022,6979,6840,7077.5,6783,1.78M,2.69%
2/14/2022,6796,6684,6885,6524.5,1.95M,1.32%
2/11/2022,6707.5,6960,7000,6624.5,1.89M,-3.97%
2/10/2022,6984.5,6970,7084,6894,1.38M,0.16%
2/9/2022,6973.5,6966.5,7009,6900,1.55M,0.23%
2/8/2022,6957.5,6985,7044,6938,931.31K,-0.44%
2/7/2022,6988,7047,7060,6825.5,977.37K,-0.31%
2/4/2022,7010,6897,7110,6892,1.75M,2.10%
