Date,Price,Open,High,Low,Vol.,Change %
02/04/2022,283.25,284.6,288.3,281.5,1.70M,-0.47%
02/07/2022,284.45,285,286.7,282.25,1.04M,0.42%
02/08/2022,289.75,283.65,290.15,283.55,1.49M,1.86%
02/09/2022,289.9,290,290.5,286.75,3.59M,0.05%
02/10/2022,293.45,289.95,294.9,283.6,4.46M,1.22%
02/11/2022,284.8,292.05,292.95,282.7,3.35M,-2.95%
02/14/2022,280.8,283.05,286.7,276.5,5.06M,-1.40%
02/15/2022,287.3,281.45,287.85,280.7,3.28M,2.31%
02/16/2022,287.4,287,291.65,286,2.97M,0.03%
02/17/2022,283.45,287.4,287.8,281.1,4.54M,-1.37%
02/18/2022,272.85,284.95,286.9,271.3,5.27M,-3.74%
02/21/2022,239.75,272.85,278,226,20.24M,-12.13%
02/22/2022,260.85,235.45,263.9,219.5,16.72M,8.80%
02/24/2022,206.65,235,240,155,10.84M,-20.78%
02/25/2022,217.5,205,247.8,205,6.15M,5.25%
03/24/2022,205.6,200,236,198.15,3.13M,-5.47%
03/25/2022,190.6,206.95,208.25,188.2,3.91M,-7.30%
03/28/2022,184.8,190.6,194.2,181.2,973.54K,-3.04%
03/29/2022,174.7,184.8,188.65,171.5,1.99M,-5.47%
03/30/2022,233,177.15,235,177.15,3.51M,33.37%
03/31/2022,238.65,229,248,212.15,3.92M,2.42%
04/01/2022,235,238.6,248.1,232,1.41M,-1.53%
04/04/2022,231,235,239.05,224.2,1.09M,-1.70%
04/05/2022,218,230.05,231.05,215.35,1.02M,-5.63%
04/06/2022,215,217,220,212,697.94K,-1.38%
04/07/2022,216.5,215,221.85,215,541.76K,0.70%
04/08/2022,215.2,235,235,213,2.07M,-0.60%
04/11/2022,211.75,217.8,217.8,210.1,688.08K,-1.60%
04/12/2022,210.9,214,214,204,882.57K,-0.40%
04/13/2022,210.5,214.75,215.9,210,726.22K,-0.19%
04/14/2022,205.8,212.5,213.2,205,548.09K,-2.23%
04/15/2022,207.35,205.7,211.7,200.45,1.05M,0.75%
04/18/2022,203.8,207.9,213.4,203.2,907.29K,-1.71%
04/19/2022,201.8,205,205,195.1,1.19M,-0.98%
04/20/2022,196.95,201.05,202.4,195.25,1.61M,-2.40%
04/21/2022,192.4,197.3,198.25,192.3,1.08M,-2.31%
04/22/2022,188.05,194.4,194.75,188.05,1.04M,-2.26%
04/25/2022,185,188.1,188.3,181.65,1.34M,-1.62%
04/26/2022,196.35,185,197.25,184.55,3.91M,6.14%
04/27/2022,207.6,196.8,208.2,194.35,4.76M,5.73%
04/28/2022,205,208,212.45,202.45,2.84M,-1.25%
04/29/2022,209.05,205.65,209.35,205.05,1.11M,1.98%
05/04/2022,208.7,209.05,212.2,207.15,845.19K,-0.17%
05/05/2022,214.1,208.7,214.95,208.7,1.06M,2.59%
05/06/2022,211,214,214.4,209.25,908.31K,-1.45%
05/11/2022,209.45,211.25,211.25,206.1,790.93K,-0.73%
05/12/2022,200.1,208.4,209.3,198.3,1.59M,-4.46%
05/13/2022,200.85,201.05,202.95,199,1.18M,0.37%
05/16/2022,210,201.05,210,200.45,1.19M,4.56%
05/17/2022,217.5,208.5,219.6,205,2.07M,3.57%
05/18/2022,243,239.25,282.9,239.25,12.06M,11.72%
05/19/2022,243.15,242.4,246,237.6,2.46M,0.06%
05/20/2022,238.5,244,245.9,237,1.65M,-1.91%
05/23/2022,236,239,240,232.3,1.15M,-1.05%
05/24/2022,243.4,236.05,245.45,230.7,2.23M,3.14%
05/25/2022,248,245.3,249.45,242.55,2.28M,1.89%
05/26/2022,245.75,250,251.5,245,2.11M,-0.91%
05/27/2022,246.9,245.05,248.75,243.9,1.33M,0.47%
05/30/2022,255,247,255,246.1,1.69M,3.28%
05/31/2022,254.8,254.95,257,251.75,984.10K,-0.08%
