Date,Price,Open,High,Low,Vol.,Change %
02/04/2022,549,559,560,540.5,66.58K,0.18%
02/07/2022,551.5,545.5,563.5,540,34.61K,0.46%
02/08/2022,559.5,554,564,545,40.47K,1.45%
02/09/2022,585,560,588,560,69.30K,4.56%
02/10/2022,564,585,585,562,72.72K,-3.59%
02/11/2022,557,564,569.5,550,70.30K,-1.24%
02/14/2022,559.5,550,591.5,548,86.52K,0.45%
02/15/2022,574,559.5,595,559.5,88.96K,2.59%
02/16/2022,583,578,605.5,570,105.27K,1.57%
02/17/2022,564,576,579.5,560,67.31K,-3.26%
02/18/2022,559,566,569,542,103.86K,-0.89%
02/21/2022,451,563,571,395,277.12K,-19.32%
02/22/2022,536.5,450,555,400,315.17K,18.96%
02/24/2022,380,487,490,300,484.59K,-29.17%
02/25/2022,392.5,362,429,355,245.22K,3.29%
03/30/2022,469.5,427.5,528.5,427.5,175.54K,19.62%
03/31/2022,485,480,520,455,150.18K,3.30%
04/01/2022,492,519.5,519.5,488.5,70.07K,1.44%
04/04/2022,478.5,495,499.5,456.5,70.08K,-2.74%
04/05/2022,458.5,471.5,479,451,35.83K,-4.18%
04/06/2022,438.5,458.5,463.5,431.5,35.45K,-4.36%
04/07/2022,442,439,469,437,37.62K,0.80%
04/08/2022,432.5,451.5,456.5,430.5,19.07K,-2.15%
04/11/2022,430,432.5,454.5,425,26.97K,-0.58%
04/12/2022,414.5,436.5,436.5,403,25.91K,-3.60%
04/13/2022,412.5,430,430,399,17.79K,-0.48%
04/14/2022,396.5,411,419,392,30.87K,-3.88%
04/15/2022,387,396,418.5,374,65.33K,-2.40%
04/18/2022,376.5,388.5,397.5,374,21.52K,-2.71%
04/19/2022,358,376.5,387,342,47.21K,-4.91%
04/20/2022,359.5,368.5,371,350,19.49K,0.42%
04/21/2022,355.5,360,366,355.5,19.32K,-1.11%
04/22/2022,352.5,355.5,367,351.5,13.31K,-0.84%
04/25/2022,320.5,352.5,363,320.5,45.72K,-9.08%
04/26/2022,318.5,320,330,305,69.38K,-0.62%
04/27/2022,344.5,321,353.5,316.5,38.67K,8.16%
04/28/2022,333.5,352.5,370,323,45.70K,-3.19%
04/29/2022,334.5,350,350,333,18.49K,0.30%
05/04/2022,318.5,334,339.5,318,31.17K,-4.78%
05/05/2022,312.5,326.5,327,311.5,45.55K,-1.88%
05/06/2022,325.5,312.5,364.5,312.5,102.85K,4.16%
05/11/2022,319.5,317,330,316,22.23K,-1.84%
05/12/2022,305.5,329.5,329.5,300,43.52K,-4.38%
05/13/2022,308,312,314,304.5,16.25K,0.82%
05/16/2022,317.5,320,320,310.5,17.57K,3.08%
05/17/2022,317,321,321,311.5,15.05K,-0.16%
05/18/2022,326,329,361,324.5,83.33K,2.84%
05/19/2022,360,330,360,322,94.66K,10.43%
05/20/2022,431,364,431,363.5,353.85K,19.72%
05/23/2022,453.5,435,479,416,422.83K,5.22%
05/24/2022,414.5,464,468,393.5,248.58K,-8.60%
05/25/2022,414,415,432.5,400.5,104.97K,-0.12%
05/26/2022,387,421.5,421.5,379,137.60K,-6.52%
05/27/2022,405,387,419.5,370.5,232.30K,4.65%
05/30/2022,415,405.5,425,400.5,114.22K,2.47%
05/31/2022,403,418.5,418.5,402,54.43K,-2.89%
