Date,Price,Open,High,Low,Vol.,Change %
5/31/2022,0.01831,0.018245,0.01839,0.01811,14.98B,0.05%
5/30/2022,0.0183,0.018695,0.01876,0.018265,25.54B,-1.61%
5/27/2022,0.0186,0.01888,0.01888,0.01855,19.00B,-1.06%
5/26/2022,0.0188,0.01887,0.01908,0.018635,32.81B,-0.05%
5/25/2022,0.01881,0.0188,0.01894,0.0185,20.86B,0.56%
5/24/2022,0.018705,0.018525,0.01888,0.0181,26.90B,0.73%
5/23/2022,0.01857,0.018975,0.019085,0.018505,18.75B,-1.62%
5/20/2022,0.018875,0.019295,0.01939,0.018725,20.77B,-1.54%
5/19/2022,0.01917,0.0192,0.01938,0.01891,19.67B,-0.16%
5/18/2022,0.0192,0.019445,0.01992,0.0192,37.52B,-0.67%
5/17/2022,0.01933,0.01918,0.01948,0.01901,26.86B,1.84%
5/16/2022,0.01898,0.01885,0.019145,0.01865,20.16B,1.77%
5/13/2022,0.01865,0.01885,0.018895,0.01846,15.20B,0.51%
5/12/2022,0.018555,0.0193,0.019375,0.018345,26.82B,-3.89%
5/11/2022,0.019305,0.019445,0.01975,0.019175,24.33B,-0.90%
5/6/2022,0.01948,0.01975,0.01975,0.019245,21.49B,-1.59%
5/5/2022,0.019795,0.019775,0.019915,0.0196,19.66B,1.05%
5/4/2022,0.01959,0.020085,0.020495,0.01952,41.82B,-2.51%
4/29/2022,0.020095,0.0195,0.02039,0.01928,102.54B,5.13%
4/28/2022,0.019115,0.0201,0.020395,0.01903,71.15B,-3.94%
4/27/2022,0.0199,0.019195,0.0201,0.0189,77.88B,4.05%
4/26/2022,0.019125,0.01825,0.019565,0.01812,59.10B,5.34%
4/25/2022,0.018155,0.0186,0.0187,0.01803,30.75B,-3.48%
4/22/2022,0.01881,0.0188,0.0196,0.01868,31.99B,-0.90%
4/21/2022,0.01898,0.01923,0.01928,0.018715,29.57B,-1.63%
4/20/2022,0.019295,0.0188,0.019355,0.018225,60.25B,3.21%
4/19/2022,0.018695,0.019,0.019,0.01786,63.32B,-1.73%
4/18/2022,0.019025,0.020275,0.0205,0.01902,43.35B,-5.47%
4/15/2022,0.020125,0.01991,0.02062,0.019105,63.26B,0.95%
4/14/2022,0.019935,0.021225,0.0213,0.019905,44.07B,-5.68%
4/13/2022,0.021135,0.021445,0.021615,0.02083,36.85B,0.12%
4/12/2022,0.02111,0.0217,0.0217,0.02015,72.64B,-1.81%
4/11/2022,0.0215,0.022,0.02263,0.0214,58.98B,-3.85%
4/8/2022,0.02236,0.023095,0.02328,0.022005,55.37B,-1.97%
4/7/2022,0.02281,0.02198,0.023115,0.02198,80.95B,3.92%
4/6/2022,0.02195,0.02202,0.0235,0.02122,149.12B,-4.90%
4/5/2022,0.02308,0.0258,0.02636,0.0218,361.55B,-8.05%
4/4/2022,0.0251,0.02302,0.02515,0.0225,300.62B,11.56%
4/1/2022,0.0225,0.0205,0.023845,0.019895,242.81B,13.64%
3/31/2022,0.0198,0.017355,0.01992,0.017355,183.26B,15.42%
3/30/2022,0.017155,0.01755,0.01755,0.016945,40.81B,3.97%
3/29/2022,0.0165,0.01687,0.017945,0.01622,58.96B,-2.08%
3/28/2022,0.01685,0.017545,0.017695,0.0165,37.98B,-3.71%
3/25/2022,0.0175,0.0197,0.019805,0.0171,71.41B,-7.89%
3/24/2022,0.019,0.0181,0.02177,0.015995,130.39B,-5.52%
2/25/2022,0.02011,0.0202,0.022695,0.01825,220.82B,0.05%
2/24/2022,0.0201,0.03051,0.03051,0.01639,425.75B,-41.25%
2/22/2022,0.034215,0.031975,0.03458,0.02896,417.84B,6.52%
2/21/2022,0.03212,0.03915,0.0402,0.0292,472.63B,-18.25%
2/18/2022,0.03929,0.041345,0.04188,0.03882,135.86B,-4.60%
2/17/2022,0.041185,0.0429,0.04295,0.04086,115.81B,-4.05%
2/16/2022,0.042925,0.042035,0.04338,0.042,121.17B,2.48%
2/15/2022,0.041885,0.04033,0.041895,0.04033,97.50B,3.97%
2/14/2022,0.040285,0.040005,0.04055,0.038635,144.24B,-0.53%
2/11/2022,0.0405,0.0417,0.04205,0.0401,102.23B,-3.34%
2/10/2022,0.0419,0.04274,0.0429,0.04165,104.30B,-1.97%
2/9/2022,0.04274,0.042335,0.043,0.042055,119.45B,1.27%
2/8/2022,0.042205,0.0411,0.04223,0.040885,97.41B,2.69%
2/7/2022,0.0411,0.0412,0.04164,0.040575,51.20B,-0.36%
2/4/2022,0.04125,0.0416,0.042125,0.040725,66.81B,0.01%
